School,Author,Title,Dynasty,Content,School_e,Author_e,Title_e,Content_e
山水田园,王维,白石滩,唐,清浅白沙滩，绿蒲尚堪把。家住水东西，浣纱明月下。,Landscape and pastoral,Wang Wei,Baishitan,"The clear and shallow white sand beach is still worthy of green cattail. I live in Shuidong, Huansha under the bright moon."
山水田园,王维,九月九日忆山东兄弟,唐,独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。,Landscape and pastoral,Wang Wei,September 9 Recalling Shandong Brothers,"Alone as a stranger in a foreign land, I miss my relatives every festive season. Knowing that the brother ascended the high place, there was only one less person who planted dogwood everywhere."
山水田园,王维,与卢员外象过崔处士兴宗林亭,唐,绿树重阴盖四邻，青苔日厚自无尘。科头箕踞长松下，白眼看他世上人。,Landscape and pastoral,Wang Wei,Visit Cui Chushi Xingzong Lin Pavilion with Lu Yuanwai,"The green trees cover the neighbors with heavy shade, and the moss grows thicker day by day without dust. The head of the branch is squatting under the head of the pine, and he looks at him in the world."
山水田园,王维,山中寄诸弟妹,唐,山中多法侣，禅诵自为群。城郭遥相望，唯应见白云。,Landscape and pastoral,Wang Wei,In the mountains send all brothers and sisters,"There are many Dharma couples in the mountains, and Zen chanting is a group. The city walls look at each other from a distance, only to see the white clouds."
山水田园,王维,书事,唐,轻阴阁小雨，深院昼慵开。坐看苍苔色，欲上人衣来。,Landscape and pastoral,Wang Wei,writing,"It rains lightly in the light shade pavilion, and the deep courtyard is lazy in the daytime. Sitting and looking at the moss color, I want to wear clothes."
山水田园,王维,杂曲歌辞 少年行四首 其一,唐,新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。,Landscape and pastoral,Wang Wei,"Miscellaneous Songs and Lyrics, One of Four Poems for Young People","How many years have you been a ranger in Xianyang for ten thousand Xinfeng fine wines? When you meet, you will drink for the king, and you will be tied to a horse, a tall building, and a weeping willow."
山水田园,王维,杂曲歌辞 少年行四首 其二,唐,出身仕汉羽林郎，初随骠骑战渔阳。孰知不向边庭苦，纵死犹闻侠骨香。,Landscape and pastoral,Wang Wei,Miscellaneous Songs and Lyrics Juvenile Walk Four Poems Two,"Born as an official Han Habayashiro, he first followed the hussars to fight Yuyang. Who knows that if you don't suffer from the side court, you will still hear the fragrance of chivalrous bones even if you die."
山水田园,王维,杂曲歌辞 少年行四首 其三,唐,一身能擘两雕弧，虏骑千重只似无。偏坐金鞍调白羽，纷纷射杀五单于。,Landscape and pastoral,Wang Wei,Miscellaneous Songs and Lyrics Juvenile Walk Four out of three,"A body can break two carved arcs, and a captive riding a thousand weights seems to be nothing. Sitting on the golden saddle and tuning Bai Yu, they shot and killed Wu Danyu one after another."
山水田园,王维,杂曲歌辞 少年行四首 其四,唐,汉家君臣欢宴终，高议云台论战功。天子临轩赐侯印，将军佩出明光宫。,Landscape and pastoral,Wang Wei,Miscellaneous Songs and Lyrics Juvenile Walk Four of Four,"At the end of the banquet, the monarchs and ministers of the Han family talked about Yuntai's military exploits. The emperor Linxuan bestowed Hou Yin, and the general wore it out of Mingguang Palace."
山水田园,王维,叹白发,唐,宿昔朱颜成暮齿，须臾白发变垂髫。一生几许伤心事，不向空门何处销。,Landscape and pastoral,Wang Wei,sigh white hair,"In the past, the beauty of the past turned into twilight teeth, and the white hair turned into drooping hair in a moment. There are many sad things in my life, and I don't sell them anywhere in Buddhism."
山水田园,王维,左掖梨花,唐,闲洒阶边草，轻随箔外风。黄莺弄不足，衔入未央宫。,Landscape and pastoral,Wang Wei,Zuoye Lihua,"Sprinkle the grass on the edge of the steps leisurely, and follow the wind with the foil lightly. Huang Ying didn't get enough, so she was brought into Weiyang Palace."
山水田园,王维,伊州歌,唐,清风明月苦相思，荡子从戎十载馀。征人去日慇勤嘱，归雁来时数附书。,Landscape and pastoral,Wang Wei,Illinois song,"The breeze and the bright moon are bitter lovesickness, and the prodigal son has been in the army for more than ten years. The recruiter went to the Japanese courteously, and when the wild goose came, he attached a book."
